CITY_NAME,S_NAME,TOWN_NAME_4COL,POP,__srcfile
新島村,若郷字久田巻,東京都新島村若郷字久田巻,,h03_13.csv
神津島村,高嶺,東京都神津島村高嶺,,h03_13.csv
神津島村,錆崎,東京都神津島村錆崎,,h03_13.csv
神津島村,滝川,東京都神津島村滝川,,h03_13.csv
神津島村,鉄砲場,東京都神津島村鉄砲場,,h03_13.csv
神津島村,高処山,東京都神津島村高処山,,h03_13.csv
神津島村,面房,東京都神津島村面房,,h03_13.csv
神津島村,向山,東京都神津島村向山,,h03_13.csv
神津島村,山川,東京都神津島村山川,,h03_13.csv
神津島村,洞沢,東京都神津島村洞沢,,h03_13.csv
神津島村,秩父山,東京都神津島村秩父山,,h03_13.csv
神津島村,三浦,東京都神津島村三浦,,h03_13.csv
神津島村,大沢,東京都神津島村大沢,,h03_13.csv
神津島村,恩馳島,東京都神津島村恩馳島,,h03_13.csv
神津島村,祇苗島,東京都神津島村祇苗島,,h03_13.csv
神津島村,金長、等,東京都神津島村金長、等,,h03_13.csv
小笠原村,父島字三日月山,東京都小笠原村父島字三日月山,,h03_13.csv
小笠原村,父島字船見山,東京都小笠原村父島字船見山,,h03_13.csv
小笠原村,父島字宮之浜,東京都小笠原村父島字宮之浜,,h03_13.csv
小笠原村,父島字釣浜,東京都小笠原村父島字釣浜,,h03_13.csv
小笠原村,父島字屏風谷,東京都小笠原村父島字屏風谷,,h03_13.csv
小笠原村,父島字旭山,東京都小笠原村父島字旭山,,h03_13.csv
小笠原村,父島字境浦,東京都小笠原村父島字境浦,,h03_13.csv
小笠原村,父島字夜明山,東京都小笠原村父島字夜明山,,h03_13.csv
小笠原村,父島字初寝浦,東京都小笠原村父島字初寝浦,,h03_13.csv
小笠原村,父島字吹上谷,東京都小笠原村父島字吹上谷,,h03_13.csv
小笠原村,父島字桑ノ木山,東京都小笠原村父島字桑ノ木山,,h03_13.csv
小笠原村,父島字洲崎,東京都小笠原村父島字洲崎,,h03_13.csv
小笠原村,父島字二子,東京都小笠原村父島字二子,,h03_13.csv
小笠原村,父島字長谷,東京都小笠原村父島字長谷,,h03_13.csv
小笠原村,父島字大滝,東京都小笠原村父島字大滝,,h03_13.csv
