町丁目,佐々距離_km,1位病院距離_km,距離差_abs_km,町丁目内_全患者数,佐々患者数,佐々構成比_pct,佐々順位,1位施設,1位施設_短縮,1位患者数,1位構成比_pct,1位との差_pctpt,1位との差_患者数
武蔵野市吉祥寺北町四丁目,3.109924671821396,3.6750386429855224,0.5651139711641262,613.0,59.0,9.624796084828713,5,医療法人財団　荻窪病院,荻窪病院,228.0,37.19412724306688,27.56933115823817,169.0
武蔵野市関前四丁目,1.899607878635885,1.289683996670368,0.6099238819655171,496.0,63.0,12.701612903225806,3,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,317.0,63.91129032258065,51.20967741935484,254.0
西東京市新町二丁目,1.6380110788592728,0.906915222926282,0.7310958559329908,684.0,96.0,14.035087719298245,3,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,465.0,67.98245614035088,53.94736842105263,369.0
東久留米市南沢五丁目,1.9976452056235785,1.2639712747453922,0.7336739308781863,1521.0,241.0,15.844838921762,3,医療法人財団　緑秀会　田無病院,緑秀会田無病院,702.0,46.15384615384615,30.309007232084156,461.0
練馬区東大泉七丁目,3.973812117835118,3.227379358152903,0.7464327596822149,3038.0,252.0,8.294930875576037,2,学校法人　順天堂　順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,2430.0,79.98683344305464,71.69190256747859,2178.0
練馬区関町北五丁目,3.1307480586915832,3.911009136122404,0.7802610774308207,2877.0,346.0,12.02641640597845,2,学校法人　順天堂　順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1764.0,61.31386861313869,49.28745220716024,1418.0
練馬区南大泉三丁目,3.231005810000234,4.024413741802292,0.7934079318020575,2607.0,498.0,19.102416570771,2,学校法人　順天堂　順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1705.0,65.40084388185655,46.29842731108555,1207.0
西東京市泉町四丁目,1.959918837852977,1.1511835567812283,0.8087352810717485,861.0,57.0,6.620209059233449,4,医療法人財団　緑秀会　田無病院,緑秀会田無病院,465.0,54.00696864111498,47.386759581881535,408.0
東久留米市滝山三丁目,3.210747656387066,2.349733110338883,0.8610145460481831,261.0,44.0,16.85823754789272,3,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,東京都立多摩北部医療センター,172.0,65.90038314176245,49.042145593869726,128.0
西東京市向台町三丁目,1.2423356664794876,0.3763719436683761,0.8659637228111114,13831.0,1397.0,10.100498879329043,2,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,12262.0,88.6559178656641,78.55541898633506,10865.0
西東京市向台町六丁目,1.595510608277198,0.7206843398950207,0.8748262683821773,3576.0,665.0,18.59619686800895,2,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,2645.0,73.96532438478746,55.36912751677852,1980.0
西東京市向台町五丁目,1.3149207538912155,0.435083621564633,0.8798371323265826,2327.0,307.0,13.192952299097552,2,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,2020.0,86.80704770090244,73.61409540180489,1713.0
