town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,公益財団法人　結核予防会　複十字病院,医療法人　啓仁会　吉祥寺南病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　山斗会　山中病院,医療法人社団　時正会　佐々総合病院,医療法人社団　東山会　調布東山病院,医療法人社団　武蔵野会　一橋病院,医療法人社団　永寿会　三鷹中央病院,医療法人財団　きよせ旭が丘記念病院,医療法人財団　緑秀会　田無病院,医療法人財団　荻窪病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,学校法人　順天堂　順天堂大学医学部附属練馬病院,独立行政法人　国立病院機構　東京病院,緑風荘病院
杉並区成田東五丁目,杉並区成田東五丁目,杉並区,成田東五丁目,139.6307793046813,35.699363869223376,8.966087659391459,765.0,0.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,412.0,0.0,0.0
杉並区荻窪一丁目,杉並区荻窪一丁目,杉並区,荻窪一丁目,139.62241910218629,35.69352422535484,8.55811528838183,2123.0,0.0,61.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,0.0,247.0,0.0,0.0
杉並区荻窪二丁目,杉並区荻窪二丁目,杉並区,荻窪二丁目,139.62065432891316,35.69720704492308,8.229525725893525,462.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0
杉並区荻窪三丁目,杉並区荻窪三丁目,杉並区,荻窪三丁目,139.62602557189345,35.69915501942471,8.579315050810285,2151.0,0.0,0.0,0.0,0.0,386.0,251.0,0.0,149.0,0.0,0.0,910.0,0.0,0.0,0.0,455.0
杉並区荻窪四丁目,杉並区荻窪四丁目,杉並区,荻窪四丁目,139.6217762166948,35.70156632686697,8.121211018098618,1545.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,56.0,0.0,0.0,1204.0,0.0,111.0,0.0,0.0
杉並区荻窪五丁目,杉並区荻窪五丁目,杉並区,荻窪五丁目,139.61897377760872,35.702917658049934,7.829851951003317,318.0,0.0,0.0,0.0,69.0,68.0,0.0,0.0,111.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
杉並区南荻窪一丁目,杉並区南荻窪一丁目,杉並区,南荻窪一丁目,139.6151888008789,35.69628699357155,7.837542857237575,2658.0,0.0,95.0,0.0,1983.0,212.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0
杉並区南荻窪二丁目,杉並区南荻窪二丁目,杉並区,南荻窪二丁目,139.61001981147757,35.69898122446431,7.284589375066106,1771.0,0.0,0.0,0.0,1226.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0,67.0,0.0,0.0
杉並区南荻窪三丁目,杉並区南荻窪三丁目,杉並区,南荻窪三丁目,139.610615707669,35.7024033992658,7.162224851136934,970.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,0.0,0.0,0.0,0.0
杉並区南荻窪四丁目,杉並区南荻窪四丁目,杉並区,南荻窪四丁目,139.6150909527123,35.701376214457206,7.576851746042269,1256.0,0.0,72.0,0.0,357.0,99.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,207.0,0.0,0.0
