town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,学校法人　順天堂　順天堂大学医学部附属練馬病院,医療法人社団　時正会　佐々総合病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,医療法人　徳洲会　武蔵野徳洲会病院,医療法人財団　荻窪病院,医療法人社団　東山会　調布東山病院,緑風荘病院,医療法人財団　緑秀会　田無病院,公益財団法人　結核予防会　複十字病院,医療法人社団　永寿会　三鷹中央病院,医療法人社団　武蔵野会　一橋病院,医療法人　啓仁会　吉祥寺南病院,医療法人財団　きよせ旭が丘記念病院,医療法人社団　山斗会　山中病院,独立行政法人　国立病院機構　東京病院
西東京市泉町一丁目,西東京市泉町一丁目,西東京市,泉町一丁目,139.5484851658315,35.737730036781436,1.2440468880340994,2239.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,691.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市芝久保町一丁目,西東京市芝久保町一丁目,西東京市,芝久保町一丁目,139.52638010389225,35.72441110534336,1.269650490062668,6846.0,354.0,2416.0,0.0,3967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市緑町三丁目,西東京市緑町三丁目,西東京市,緑町三丁目,139.54059717513078,35.74123173614532,1.284770068301131,2977.0,358.0,373.0,0.0,0.0,0.0,0.0,0.0,2143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市向台町五丁目,西東京市向台町五丁目,西東京市,向台町五丁目,139.52986587425022,35.720430122798845,1.3149207538912155,2327.0,0.0,307.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市保谷町六丁目,西東京市保谷町六丁目,西東京市,保谷町六丁目,139.55251392725717,35.73443049834032,1.3419633308087735,3148.0,0.0,1651.0,0.0,651.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市谷戸町一丁目,西東京市谷戸町一丁目,西東京市,谷戸町一丁目,139.54498925645314,35.74133275373344,1.4018403925256226,8651.0,819.0,1517.0,0.0,0.0,0.0,0.0,0.0,5107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市芝久保町四丁目,西東京市芝久保町四丁目,西東京市,芝久保町四丁目,139.52290008897262,35.7311494721405,1.4433820763200336,6280.0,0.0,5550.0,0.0,263.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市柳沢一丁目,西東京市柳沢一丁目,西東京市,柳沢一丁目,139.55476892717496,35.72682452887052,1.4782176394420738,954.0,0.0,673.0,0.0,103.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市芝久保町三丁目,西東京市芝久保町三丁目,西東京市,芝久保町三丁目,139.52241419345606,35.728668279099914,1.4841555088029033,5581.0,0.0,4507.0,0.0,714.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市保谷町二丁目,西東京市保谷町二丁目,西東京市,保谷町二丁目,139.55561540087322,35.730616273763935,1.520764532158044,646.0,0.0,277.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0
西東京市柳沢二丁目,西東京市柳沢二丁目,西東京市,柳沢二丁目,139.55452572261385,35.723928789857105,1.5610859280548686,2875.0,0.0,1285.0,0.0,851.0,0.0,0.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市柳沢四丁目,西東京市柳沢四丁目,西東京市,柳沢四丁目,139.55041111413334,35.71928786642266,1.5675356360182615,546.0,0.0,118.0,0.0,360.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市泉町二丁目,西東京市泉町二丁目,西東京市,泉町二丁目,139.55109932260692,35.7398628435558,1.5785787098553907,3456.0,708.0,1226.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市新町一丁目,西東京市新町一丁目,西東京市,新町一丁目,139.5464024737586,35.71691759419392,1.58537186232481,3352.0,0.0,840.0,0.0,1848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0
東久留米市南町一丁目,東久留米市南町一丁目,東久留米市,南町一丁目,139.52712420942177,35.74045099302988,1.5878228429200525,1477.0,0.0,563.0,147.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市向台町六丁目,西東京市向台町六丁目,西東京市,向台町六丁目,139.5256923397694,35.72014441324131,1.595510608277198,3576.0,0.0,665.0,0.0,2645.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市保谷町一丁目,西東京市保谷町一丁目,西東京市,保谷町一丁目,139.555468189065,35.73478521124171,1.6045501552290458,754.0,0.0,166.0,0.0,178.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市新町三丁目,西東京市新町三丁目,西東京市,新町三丁目,139.5392480721674,35.715281649177385,1.6115410472295544,2929.0,0.0,251.0,0.0,2584.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市ひばりが丘四丁目,西東京市ひばりが丘四丁目,西東京市,ひばりが丘四丁目,139.5306420499779,35.74290097508915,1.6352569607428755,1283.0,0.0,511.0,0.0,256.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市新町二丁目,西東京市新町二丁目,西東京市,新町二丁目,139.5426580247265,35.71537586842274,1.6380110788592728,684.0,0.0,96.0,0.0,465.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東久留米市南町二丁目,東久留米市南町二丁目,東久留米市,南町二丁目,139.5226850233819,35.736691457323296,1.6456334417794152,131.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市柳沢三丁目,西東京市柳沢三丁目,西東京市,柳沢三丁目,139.5537295072806,35.72123778095061,1.648150638313612,2385.0,0.0,790.0,0.0,1359.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市ひばりが丘三丁目,西東京市ひばりが丘三丁目,西東京市,ひばりが丘三丁目,139.53553057429517,35.7443723134433,1.6503023550058342,5872.0,722.0,1126.0,0.0,0.0,0.0,0.0,0.0,3189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市住吉町一丁目,西東京市住吉町一丁目,西東京市,住吉町一丁目,139.54867255263596,35.74232675859644,1.6563654088021156,2444.0,596.0,505.0,0.0,0.0,0.0,0.0,0.0,1191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市谷戸町二丁目,西東京市谷戸町二丁目,西東京市,谷戸町二丁目,139.5408212924988,35.74470880989951,1.6711104203626923,13890.0,1303.0,2150.0,0.0,0.0,0.0,0.0,0.0,8307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市東伏見一丁目,西東京市東伏見一丁目,西東京市,東伏見一丁目,139.55783187588383,35.72778136537712,1.7321248066933974,132.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,28.0
