town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,佐々総合病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　東光会　西東京中央総合病院,医療法人社団　薫風会　山田病院,医療法人財団　緑秀会　田無病院,公立昭和病院,医療法人社団　東京白報会　みたか在宅診療所,杏林大学医学部付属病院,武蔵野赤十字病院,順天堂大学医学部附属練馬病院
西東京市柳沢二丁目,西東京市柳沢二丁目,西東京市,柳沢二丁目,139.55452572261385,35.723928789857105,1.5610859280548686,9571.0,1327.0,800.0,390.0,529.0,446.0,575.0,1324.0,359.0,299.0,44.0
西東京市柳沢四丁目,西東京市柳沢四丁目,西東京市,柳沢四丁目,139.55041111413334,35.71928786642266,1.5675356360182615,1386.0,118.0,312.0,73.0,126.0,68.0,0.0,55.0,124.0,48.0,0.0
西東京市泉町二丁目,西東京市泉町二丁目,西東京市,泉町二丁目,139.55109932260692,35.7398628435558,1.5785787098553907,6900.0,1324.0,68.0,95.0,257.0,636.0,648.0,0.0,0.0,0.0,708.0
西東京市新町一丁目,西東京市新町一丁目,西東京市,新町一丁目,139.5464024737586,35.71691759419392,1.58537186232481,11245.0,840.0,1422.0,120.0,1461.0,96.0,46.0,1126.0,43.0,464.0,0.0
東久留米市南町一丁目,東久留米市南町一丁目,東久留米市,南町一丁目,139.52712420942177,35.74045099302988,1.5878228429200525,8505.0,563.0,63.0,277.0,909.0,317.0,700.0,37.0,299.0,63.0,46.0
西東京市向台町六丁目,西東京市向台町六丁目,西東京市,向台町六丁目,139.5256923397694,35.72014441324131,1.595510608277198,7871.0,665.0,2146.0,317.0,911.0,89.0,85.0,0.0,46.0,0.0,49.0
西東京市保谷町一丁目,西東京市保谷町一丁目,西東京市,保谷町一丁目,139.555468189065,35.73478521124171,1.6045501552290458,3217.0,166.0,178.0,62.0,111.0,304.0,0.0,380.0,0.0,63.0,58.0
西東京市新町三丁目,西東京市新町三丁目,西東京市,新町三丁目,139.5392480721674,35.715281649177385,1.6115410472295544,4079.0,251.0,2052.0,199.0,329.0,94.0,41.0,0.0,90.0,121.0,0.0
西東京市ひばりが丘四丁目,西東京市ひばりが丘四丁目,西東京市,ひばりが丘四丁目,139.5306420499779,35.74290097508915,1.6352569607428755,4369.0,511.0,194.0,944.0,260.0,276.0,370.0,64.0,0.0,137.0,0.0
西東京市新町二丁目,西東京市新町二丁目,西東京市,新町二丁目,139.5426580247265,35.71537586842274,1.6380110788592728,2822.0,96.0,465.0,383.0,426.0,78.0,0.0,123.0,275.0,175.0,0.0
東久留米市南町二丁目,東久留米市南町二丁目,東久留米市,南町二丁目,139.5226850233819,35.736691457323296,1.6456334417794152,131.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市柳沢三丁目,西東京市柳沢三丁目,西東京市,柳沢三丁目,139.5537295072806,35.72123778095061,1.648150638313612,7439.0,790.0,1286.0,380.0,262.0,29.0,234.0,393.0,392.0,69.0,56.0
西東京市ひばりが丘三丁目,西東京市ひばりが丘三丁目,西東京市,ひばりが丘三丁目,139.53553057429517,35.7443723134433,1.6503023550058342,12934.0,1126.0,411.0,797.0,720.0,2717.0,198.0,752.0,65.0,0.0,722.0
西東京市住吉町一丁目,西東京市住吉町一丁目,西東京市,住吉町一丁目,139.54867255263596,35.74232675859644,1.6563654088021156,4687.0,505.0,39.0,1089.0,74.0,1040.0,76.0,70.0,164.0,190.0,596.0
西東京市谷戸町二丁目,西東京市谷戸町二丁目,西東京市,谷戸町二丁目,139.5408212924988,35.74470880989951,1.6711104203626923,23562.0,2150.0,1165.0,1041.0,1179.0,7756.0,1132.0,673.0,141.0,415.0,1303.0
西東京市東伏見一丁目,西東京市東伏見一丁目,西東京市,東伏見一丁目,139.55783187588383,35.72778136537712,1.7321248066933974,710.0,47.0,0.0,28.0,27.0,0.0,0.0,48.0,26.0,0.0,0.0
