CITY_NAME,S_NAME,dominant,max_count,sel_dominant,sel_max_count,match_type2
天理市,岸田町,医療法人髙宮会 髙宮病院,1418,くらもと胃腸科医院,1120,exact
天理市,中山町,辻医院,1370,くらもと胃腸科医院,883,exact
天理市,成願寺町,くらもと胃腸科医院,964,くらもと胃腸科医院,964,exact
天理市,萱生町,くらもと胃腸科医院,518,くらもと胃腸科医院,518,exact
天理市,竹之内町,くらもと胃腸科医院,380,くらもと胃腸科医院,380,exact
天理市,乙木町,くらもと胃腸科医院,1830,くらもと胃腸科医院,1830,exact
天理市,園原町,たかはしファミリークリニック,176,くらもと胃腸科医院,101,exact
天理市,柳本町,辻医院,8356,くらもと胃腸科医院,6396,exact
天理市,渋谷町,辻医院,787,くらもと胃腸科医院,51,exact
天理市,櫟本町,鹿子木診療所,13144,くらもと胃腸科医院,10331,exact
天理市,楢町,くらもと胃腸科医院,1084,くらもと胃腸科医院,1084,exact
天理市,蔵之庄町,社会医療法人高清会　高井病院,1584,社会医療法人高清会　高井病院,1584,exact
天理市,森本町,社会医療法人高清会　高井病院,535,社会医療法人高清会　高井病院,535,exact
天理市,中之庄町,社会医療法人高清会　高井病院,915,社会医療法人高清会　高井病院,915,exact
天理市,和爾町,鹿子木診療所,1627,くらもと胃腸科医院,764,exact
天理市,福住町,くらもと胃腸科医院,2284,くらもと胃腸科医院,2284,exact
天理市,山田町,くらもと胃腸科医院,664,くらもと胃腸科医院,664,exact
天理市,西長柄町,たかはしファミリークリニック,8310,くらもと胃腸科医院,6286,exact
桜井市,大字赤尾,医療法人飯岡会　のぞみ診療所,3802,医療法人飯岡会　のぞみ診療所,3802,exact
桜井市,大字下り尾,医療法人飯岡会　のぞみ診療所,824,医療法人飯岡会　のぞみ診療所,824,exact
桜井市,大字粟原,医療法人飯岡会　のぞみ診療所,1958,医療法人飯岡会　のぞみ診療所,1958,exact
桜井市,大字慈恩寺,医療法人飯岡会　のぞみ診療所,8879,医療法人飯岡会　のぞみ診療所,8879,exact
桜井市,大字脇本,医療法人飯岡会　のぞみ診療所,767,医療法人飯岡会　のぞみ診療所,767,exact
桜井市,大字黒崎,医療法人飯岡会　のぞみ診療所,1572,医療法人飯岡会　のぞみ診療所,1572,exact
桜井市,大字狛,あさくらクリニック,473,宇陀市立病院,101,exact
桜井市,朝倉台西二丁目,医療法人飯岡会　のぞみ診療所,1182,医療法人飯岡会　のぞみ診療所,1182,exact
桜井市,朝倉台西三丁目,医療法人飯岡会　のぞみ診療所,875,医療法人飯岡会　のぞみ診療所,875,exact
桜井市,朝倉台西四丁目,医療法人飯岡会　のぞみ診療所,625,医療法人飯岡会　のぞみ診療所,625,exact
桜井市,朝倉台西五丁目,医療法人飯岡会　のぞみ診療所,1724,医療法人飯岡会　のぞみ診療所,1724,exact
桜井市,朝倉台西六丁目,医療法人飯岡会　のぞみ診療所,1238,医療法人飯岡会　のぞみ診療所,1238,exact
